Country,Month,Average_Temperature
Afghanistan,January,0.8942307692307693
Albania,January,6.4
Algeria,January,9.15518394648829
American Samoa,January,27.314285714285713
Andorra,January,-2.8
Angola,January,22.328301886792456
Anguilla,January,26.05
Antarctica,January,-5.394285714285715
Antigua and Barbuda,January,24.49230769230769
Argentina,January,23.869609079445144
Armenia,January,-6.157142857142857
Aruba,January,26.727272727272723
Ascension Island,January,26.0
Australia,January,
Austria,January,-2.643925233644859
Azerbaijan,January,1.0292307692307692
Bahrain,January,16.0
Bangladesh,January,18.72391304347826
Barbados,January,25.322222222222223
Belarus,January,-6.310000000000002
Belgium,January,1.8296296296296293
Belize,January,22.73
Benin,January,26.88157894736842
Bermuda,January,17.96
Bhutan,January,7.5
Bolivia,January,18.915642458100557
Bosnia and Herzegovina,January,0.3076923076923077
Botswana,January,25.7280701754386
Brazil,January,
British Indian Ocean Territory,January,27.0
British Virgin Islands,January,24.5
Brunei,January,26.0
Bulgaria,January,-0.7500000000000002
Burkina Faso,January,24.79310344827585
Burundi,January,20.108695652173914
Cambodia,January,25.136363636363633
Cameroon,January,23.73381294964028
Canada,January,
Cape Verde,January,20.404761904761905
Cayman Islands,January,24.75
Central African Republic,January,24.63255813953489
Chad,January,23.822
Channel Islands,January,6.25
Chile,January,16.33
China,January,-0.44496029321930325
Christmas Island,January,25.8
Cocos Islands,January,27.0
Colombia,January,23.55735294117647
Comoros,January,25.164999999999996
Cook Islands,January,26.741666666666664
Costa Rica,January,23.91304347826087
Cote d'Ivoire,January,25.947826086956525
Croatia,January,5.303571428571429
Cuba,January,22.466666666666665
Curaçao,January,26.0
Cyprus,January,11.375
Czech Republic,January,-2.2733333333333334
Democratic Republic of the Congo,January,23.777272727272738
Denmark,January,1.45
Djibouti,January,24.133333333333336
Dominica,January,24.0
Dominican Republic,January,22.903225806451612
East Timor,January,24.75
Ecuador,January,20.3972972972973
Egypt,January,13.546428571428569
El Salvador,January,22.333333333333332
Equatorial Guinea,January,24.936363636363637
Eritrea,January,19.978571428571428
Estonia,January,-4.214814814814814
Eswatini,January,23.266666666666662
Ethiopia,January,18.422500000000007
Europa Island,January,28.0
Falkland Islands,January,9.333333333333334
Faroe Islands,January,3.0
Federated States of Micronesia,January,27.115151515151517
Fiji,January,26.25
Finland,January,-8.226829268292683
France,January,4.287064676616918
French Guiana,January,25.2375
French Polynesia,January,26.019047619047623
French Southern and Antarctic Lands,January,11.0
Gabon,January,25.520588235294113
Gaza Strip,January,13.0
Georgia,January,4.688888888888889
Germany,January,-0.5039999999999999
Ghana,January,26.825675675675672
Gibraltar,January,13.0
Glorioso Islands,January,28.0
Greece,January,8.749397590361447
Greenland,January,-13.778813559322028
Grenada,January,25.55
Guadeloupe,January,23.833333333333332
Guam,January,26.174999999999997
Guatemala,January,18.90909090909091
Guinea,January,24.304761904761907
Guinea-Bissau,January,25.21666666666667
Guyana,January,25.59090909090909
Haiti,January,22.83484848484849
Holy See,January,8.0
Honduras,January,23.823529411764707
Hungary,January,-1.2363636363636363
Iceland,January,-1.6363636363636365
India,January,17.30737463126845
Indian Ocean Island,January,27.0
Indonesia,January,26.09023861171367
Iran,January,3.608974358974358
Iraq,January,9.236486486486484
Ireland,January,5.388888888888889
Isle of Man,January,5.55
Israel,January,13.085185185185184
Italy,January,5.815183246073297
Jamaica,January,24.1
Japan,January,4.117999999999999
Jordan,January,8.636363636363637
Juan de Nova Island,January,28.0
Kazakhstan,January,-11.780921052631573
Kenya,January,21.32519685039369
Kiribati,January,27.25
Kosovo,January,-0.9
Kuwait,January,12.285714285714286
Kyrgyzstan,January,-7.0181818181818185
Laos,January,20.779999999999998
Latvia,January,-3.1090909090909093
Lebanon,January,8.875
Lesotho,January,19.316666666666663
Liberia,January,24.675000000000004
Libya,January,11.809090909090907
Liechtenstein,January,2.3
Lithuania,January,-4.071428571428571
Luxembourg,January,1.0
Macedonia,January,0.5
Madagascar,January,24.13560606060606
Malawi,January,22.997368421052634
Malaysia,January,25.580487804878047
Maldives,January,27.599999999999998
Mali,January,23.476470588235298
Malta,January,12.446153846153845
Marshall Islands,January,27.099999999999998
Martinique,January,24.575000000000003
Mauritania,January,21.066666666666666
Mauritius,January,26.068749999999998
Mayotte,January,27.0
Mexico,January,
Moldova,January,-2.9
Monaco,January,8.4
Mongolia,January,-20.80111111111111
Montenegro,January,3.909090909090909
Montserrat,January,26.0
Morocco,January,11.052941176470577
Mozambique,January,25.88048780487805
Myanmar,January,21.677500000000002
Namibia,January,23.989583333333332
Nauru,January,27.0
Nepal,January,9.939999999999998
Netherlands,January,2.1333333333333333
Netherlands Antilles,January,26.175
New Caledonia,January,26.172222222222224
New Zealand,January,16.870270270270254
Nicaragua,January,25.09090909090909
Niger,January,21.764705882352942
Nigeria,January,24.815686274509797
Niue,January,26.0
Norfolk Island,January,21.5
North Korea,January,-8.0
Northern Mariana Islands,January,25.96666666666667
Norway,January,-3.9817863397548168
Oceania,January,23.775
Oman,January,19.19736842105263
Pakistan,January,10.50945945945946
Palau,January,27.1
Panama,January,25.67460317460317
Papua New Guinea,January,25.178846153846163
Paracel Islands,January,23.0
Paraguay,January,26.86528497409328
Peru,January,17.351197604790425
Philippines,January,25.12702702702703
Pitcairn Islands,January,23.0
Poland,January,-3.0285714285714285
Portugal,January,10.881666666666668
Puerto Rico,January,23.018749999999997
Qatar,January,17.2
Republic of Congo,January,24.549999999999997
Reunion,January,26.5
Romania,January,-2.7722222222222226
Russia,January,-18.100120627261767
Rwanda,January,19.149999999999995
Saint Barthélemy,January,26.0
Saint Helena,January,18.166666666666668
Saint Kitts and Nevis,January,25.0
Saint Lucia,January,26.03333333333333
Saint Martin,January,25.5
Saint Pierre and Miquelon,January,-2.0
Saint Vincent and the Grenadines,January,24.6
Samoa,January,26.0
San Marino,January,5.0
Sao Tome and Principe,January,25.639999999999997
Saudi Arabia,January,15.578703703703706
Senegal,January,23.823809523809523
Serbia,January,-0.7374999999999999
Seychelles,January,26.733333333333334
Sierra Leone,January,25.206097560975618
Singapore,January,26.183333333333334
Sint Maarten,January,25.0
Slovakia,January,-4.025
Slovenia,January,-1.50625
Solomon Islands,January,26.8125
Somalia,January,25.308771929824562
South Africa,January,21.849473684210537
South Georgia and The South Sandwich Islands,January,5.0
South Korea,January,-1.0876288659793814
South Sudan,January,26.523809523809526
Spain,January,9.417391304347827
Sri Lanka,January,24.257142857142856
Sudan,January,22.73928571428571
Suriname,January,25.53846153846154
Sweden,January,-5.583333333333334
Switzerland,January,-2.6971153846153846
Syria,January,6.955555555555556
Taiwan,January,15.104000000000001
Tajikistan,January,-2.294285714285714
Tanzania,January,23.16354166666666
Thailand,January,24.0943661971831
The Bahamas,January,21.427272727272726
The Gambia,January,24.585869565217372
Togo,January,26.458333333333332
Tokelau,January,27.5
Tonga,January,26.144444444444442
Trinidad and Tobago,January,25.18
Tromelin Island,January,30.0
Tunisia,January,10.746103896103902
Turkey,January,3.0351111111111115
Turkmenistan,January,1.6176470588235297
Turks and Caicos Islands,January,24.0
Tuvalu,January,28.0
U.S. Virgin Islands,January,24.633333333333333
Uganda,January,21.967499999999998
Ukraine,January,-3.4769230769230766
United Arab Emirates,January,18.17142857142857
United Kingdom,January,
United States of America,January,
Uruguay,January,22.950000000000003
Uzbekistan,January,-0.3372881355932206
Vanuatu,January,25.87777777777778
Venezuela,January,23.642148760330578
Vietnam,January,20.19811320754717
Wake Island,January,25.4
Wallis and Futuna,January,27.45
West Bank,January,7.333333333333333
Western Sahara,January,17.05
Yemen,January,23.428571428571427
Zambia,January,22.344155844155843
Zimbabwe,January,22.448648648648646
Afghanistan,February,3.0372549019607846
Albania,February,6.7272727272727275
Algeria,February,10.378929765886284
American Samoa,February,27.4
Andorra,February,-0.8999999999999999
Angola,February,22.601886792452827
Anguilla,February,25.8
Antarctica,February,-8.269047619047619
Antigua and Barbuda,February,24.49230769230769
Argentina,February,22.99886506935687
Armenia,February,-4.471428571428571
Aruba,February,27.727272727272734
Ascension Island,February,27.0
Australia,February,
Austria,February,-1.406060606060606
Azerbaijan,February,1.8738461538461537
Bahrain,February,17.5
Bangladesh,February,21.206521739130437
Barbados,February,25.233333333333334
Belarus,February,-5.413333333333335
Belgium,February,2.2413793103448274
Belize,February,23.44
Benin,February,28.63157894736842
Bermuda,February,17.32
Bhutan,February,9.600000000000001
Bolivia,February,18.607777777777777
Bosnia and Herzegovina,February,1.6666666666666667
Botswana,February,24.880701754385946
Brazil,February,
British Indian Ocean Territory,February,27.0
British Virgin Islands,February,24.0
Brunei,February,26.5
Bulgaria,February,0.4750000000000001
Burkina Faso,February,27.667241379310347
Burundi,February,20.178260869565218
Cambodia,February,26.563636363636363
Cameroon,February,24.93669064748201
Canada,February,
Cape Verde,February,20.152380952380955
Cayman Islands,February,24.75
Central African Republic,February,26.24651162790698
Chad,February,26.264
Channel Islands,February,6.0
Chile,February,16.146666666666665
China,February,1.6546068796068778
Christmas Island,February,25.8
Cocos Islands,February,27.0
Colombia,February,23.89264705882353
Comoros,February,25.250000000000004
Cook Islands,February,26.916666666666668
Costa Rica,February,24.41304347826087
Cote d'Ivoire,February,27.488405797101443
Croatia,February,4.930555555555555
Cuba,February,22.633333333333333
Curaçao,February,26.5
Cyprus,February,11.662499999999998
Czech Republic,February,-1.895
Democratic Republic of the Congo,February,24.078409090909098
Denmark,February,0.7111111111111111
Djibouti,February,24.88
Dominica,February,24.0
Dominican Republic,February,23.29032258064516
East Timor,February,24.5
Ecuador,February,20.491891891891893
Egypt,February,14.697023809523806
El Salvador,February,22.5
Equatorial Guinea,February,25.327272727272724
Eritrea,February,20.807142857142857
Estonia,February,-4.84074074074074
Eswatini,February,23.128571428571426
Ethiopia,February,19.51166666666666
Europa Island,February,28.0
Falkland Islands,February,9.666666666666666
Faroe Islands,February,3.0
Federated States of Micronesia,February,27.145454545454548
Fiji,February,26.3125
Finland,February,-8.178048780487805
France,February,4.767757009345794
French Guiana,February,25.3625
French Polynesia,February,26.114285714285717
French Southern and Antarctic Lands,February,11.4
Gabon,February,25.69705882352942
Gaza Strip,February,14.0
Georgia,February,5.411111111111111
Germany,February,0.3794642857142857
Ghana,February,28.20810810810811
Gibraltar,February,13.0
Glorioso Islands,February,28.0
Greece,February,9.326506024096386
Greenland,February,-14.776666666666666
Grenada,February,25.55
Guadeloupe,February,23.833333333333332
Guam,February,26.133333333333336
