location,date,new_cases,new_tests,new_vaccinations,population,median_age,gdp_per_capita,avg_temp
Afghanistan,2020-02-01,5,NA,NA,39835428,18.6,1803.987,3.0372549019607846
Afghanistan,2020-03-01,161,NA,NA,39835428,18.6,1803.987,8.5126213592233
Afghanistan,2020-04-01,1661,NA,NA,39835428,18.6,1803.987,14.561538461538468
Afghanistan,2020-05-01,13353,NA,NA,39835428,18.6,1803.987,19.35192307692309
Afghanistan,2020-06-01,16265,NA,NA,39835428,18.6,1803.987,24.408653846153843
Afghanistan,2020-07-01,5183,NA,NA,39835428,18.6,1803.987,26.437500000000004
Afghanistan,2020-08-01,1620,NA,NA,39835428,18.6,1803.987,25.015384615384612
Afghanistan,2020-09-01,1106,NA,NA,39835428,18.6,1803.987,20.42788461538461
Afghanistan,2020-10-01,1980,NA,NA,39835428,18.6,1803.987,14.506730769230767
Afghanistan,2020-11-01,4881,NA,NA,39835428,18.6,1803.987,8.327184466019416
Afghanistan,2020-12-01,6115,NA,NA,39835428,18.6,1803.987,3.575728155339805
Afghanistan,2021-01-01,2693,NA,NA,39835428,18.6,1803.987,0.8942307692307693
Afghanistan,2021-02-01,691,NA,NA,39835428,18.6,1803.987,3.0372549019607846
Afghanistan,2021-03-01,740,NA,NA,39835428,18.6,1803.987,8.5126213592233
Afghanistan,2021-04-01,3291,NA,NA,39835428,18.6,1803.987,14.561538461538468
Afghanistan,2021-05-01,12093,NA,2859,39835428,18.6,1803.987,19.35192307692309
Afghanistan,2021-06-01,46821,NA,4015,39835428,18.6,1803.987,24.408653846153843
Afghanistan,2021-07-01,28495,NA,NA,39835428,18.6,1803.987,26.437500000000004
Afghanistan,2021-08-01,6066,NA,NA,39835428,18.6,1803.987,25.015384615384612
Afghanistan,2021-09-01,1954,NA,NA,39835428,18.6,1803.987,20.42788461538461
Afghanistan,2021-10-01,1076,NA,NA,39835428,18.6,1803.987,14.506730769230767
Afghanistan,2021-11-01,1039,NA,NA,39835428,18.6,1803.987,8.327184466019416
Afghanistan,2021-12-01,795,NA,NA,39835428,18.6,1803.987,3.575728155339805
Afghanistan,2022-01-01,555,NA,NA,39835428,18.6,1803.987,NA
Albania,2020-02-01,NA,26,NA,2872934,38,11803.431,6.7272727272727275
Albania,2020-03-01,243,1526,NA,2872934,38,11803.431,8.490909090909092
Albania,2020-04-01,530,6582,NA,2872934,38,11803.431,12.163636363636364
Albania,2020-05-01,364,6470,NA,2872934,38,11803.431,16.599999999999998
Albania,2020-06-01,1398,8931,NA,2872934,38,11803.431,20.58181818181818
Albania,2020-07-01,2741,13388,NA,2872934,38,11803.431,23.163636363636364
Albania,2020-08-01,4237,21445,NA,2872934,38,11803.431,23.254545454545458
Albania,2020-09-01,4136,25203,NA,2872934,38,11803.431,19.58181818181818
Albania,2020-10-01,7226,37180,NA,2872934,38,11803.431,15.145454545454545
Albania,2020-11-01,17307,56387,NA,2872934,38,11803.431,10.8
Albania,2020-12-01,20134,70388,NA,2872934,38,11803.431,7.381818181818182
Albania,2021-01-01,19811,95583,421,2872934,38,11803.431,6.4
Albania,2021-02-01,29040,101340,2476,2872934,38,11803.431,6.7272727272727275
